REF_DATE,GEO,Statistic,Before-tax household income quintile,"Household expenditures, summary-level categories",UOM,COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2010,Province 1,Average expenditure per household,Lowest quintile,Household operations,Dollars,C27,2063.0,Couple families,0 to 24 years,"$45,000 and over",47150.0
2010,Province 1,Average expenditure per household,Lowest quintile,Communications,Dollars,C28,1079.0,Couple families,0 to 24 years,"$50,000 and over",39130.0
2010,Province 1,Average expenditure per household,Lowest quintile,Household furnishings and equipment,Dollars,C29,789.0,Couple families,0 to 24 years,"$60,000 and over",26480.0
2010,Province 1,Average expenditure per household,Lowest quintile,Household furnishings,Dollars,C30,366.0,Couple families,0 to 24 years,"$70,000 and over",17520.0
2010,Province 1,Average expenditure per household,Lowest quintile,Household equipment,Dollars,C31,371.0,Couple families,0 to 24 years,"$75,000 and over",14210.0
2010,Province 1,Average expenditure per household,Lowest quintile,Household appliances,Dollars,C32,192.0,Couple families,0 to 24 years,"$80,000 and over",11480.0
2010,Province 1,Average expenditure per household,Lowest quintile,Clothing and accessories,Dollars,C33,1431.0,Couple families,0 to 24 years,"$90,000 and over",7490.0
2010,Province 1,Average expenditure per household,Lowest quintile,Transportation,Dollars,C34,4473.0,Couple families,0 to 24 years,Median total income,35050.0
2010,Province 1,Average expenditure per household,Second quintile,Total expenditure,Dollars,C35,43247.0,Couple families,25 to 34 years,All income groups,1072780.0
2010,Province 1,Average expenditure per household,Second quintile,Food purchased from stores,Dollars,C36,4744.0,Couple families,25 to 34 years,"Under $10,000",33380.0
2010,Province 1,Average expenditure per household,Second quintile,Food purchased from restaurants,Dollars,C37,1390.0,Couple families,25 to 34 years,"$10,000 and over",1039400.0
2010,Province 1,Average expenditure per household,Second quintile,Shelter,Dollars,C38,11252.0,Couple families,25 to 34 years,"$15,000 and over",1018700.0
2010,Province 1,Average expenditure per household,Second quintile,Principal accommodation,Dollars,C39,10621.0,Couple families,25 to 34 years,"$20,000 and over",991410.0
2010,Province 1,Average expenditure per household,Second quintile,Rented living quarters,Dollars,C40,4142.0,Couple families,25 to 34 years,"$25,000 and over",958210.0
2010,Province 1,Average expenditure per household,Second quintile,Owned living quarters,Dollars,C41,4717.0,Couple families,25 to 34 years,"$30,000 and over",920790.0
2010,Province 1,Average expenditure per household,Second quintile,"Water, fuel and electricity for principal accommodation",Dollars,C42,1762.0,Couple families,25 to 34 years,"$35,000 and over",881160.0
2010,Province 1,Average expenditure per household,Second quintile,Other accommodation,Dollars,C43,631.0,Couple families,25 to 34 years,"$40,000 and over",836430.0
2010,Province 1,Average expenditure per household,Second quintile,Household operations,Dollars,C44,2738.0,Couple families,25 to 34 years,"$45,000 and over",788760.0
2010,Province 1,Average expenditure per household,Second quintile,Communications,Dollars,C45,1411.0,Couple families,25 to 34 years,"$50,000 and over",738120.0
2010,Province 1,Average expenditure per household,Second quintile,Household furnishings and equipment,Dollars,C46,1252.0,Couple families,25 to 34 years,"$60,000 and over",634680.0
2010,Province 1,Average expenditure per household,Second quintile,Household furnishings,Dollars,C47,526.0,Couple families,25 to 34 years,"$70,000 and over",530330.0
2010,Province 1,Average expenditure per household,Second quintile,Household equipment,Dollars,C48,634.0,Couple families,25 to 34 years,"$75,000 and over",479780.0
2010,Province 1,Average expenditure per household,Second quintile,Household appliances,Dollars,C49,303.0,Couple families,25 to 34 years,"$80,000 and over",431170.0
2010,Province 1,Average expenditure per household,Second quintile,Clothing and accessories,Dollars,C50,2270.0,Couple families,25 to 34 years,"$90,000 and over",341850.0
2010,Province 1,Average expenditure per household,Second quintile,Transportation,Dollars,C51,7622.0,Couple families,25 to 34 years,Median total income,69400.0
2010,Province 1,Average expenditure per household,Third quintile,Total expenditure,Dollars,C52,61674.0,Couple families,35 to 44 years,All income groups,1604130.0
2010,Province 1,Average expenditure per household,Third quintile,Food purchased from stores,Dollars,C53,5455.0,Couple families,35 to 44 years,"Under $10,000",48490.0
2010,Province 1,Average expenditure per household,Third quintile,Food purchased from restaurants,Dollars,C54,1896.0,Couple families,35 to 44 years,"$10,000 and over",1555640.0
2010,Province 1,Average expenditure per household,Third quintile,Shelter,Dollars,C55,14370.0,Couple families,35 to 44 years,"$15,000 and over",1533870.0
2010,Province 1,Average expenditure per household,Third quintile,Principal accommodation,Dollars,C56,13194.0,Couple families,35 to 44 years,"$20,000 and over",1505780.0
2010,Province 1,Average expenditure per household,Third quintile,Rented living quarters,Dollars,C57,3069.0,Couple families,35 to 44 years,"$25,000 and over",1469940.0
2010,Province 1,Average expenditure per household,Third quintile,Owned living quarters,Dollars,C58,7903.0,Couple families,35 to 44 years,"$30,000 and over",1429990.0
2010,Province 1,Average expenditure per household,Third quintile,"Water, fuel and electricity for principal accommodation",Dollars,C59,2222.0,Couple families,35 to 44 years,"$35,000 and over",1385480.0
2010,Province 1,Average expenditure per household,Third quintile,Other accommodation,Dollars,C60,1176.0,Couple families,35 to 44 years,"$40,000 and over",1336740.0
2010,Province 1,Average expenditure per household,Third quintile,Household operations,Dollars,C61,3472.0,Couple families,35 to 44 years,"$45,000 and over",1284580.0
2010,Province 1,Average expenditure per household,Third quintile,Communications,Dollars,C62,1739.0,Couple families,35 to 44 years,"$50,000 and over",1229420.0
2010,Province 1,Average expenditure per household,Third quintile,Household furnishings and equipment,Dollars,C63,1941.0,Couple families,35 to 44 years,"$60,000 and over",1114930.0
2010,Province 1,Average expenditure per household,Third quintile,Household furnishings,Dollars,C64,898.0,Couple families,35 to 44 years,"$70,000 and over",994920.0
2010,Province 1,Average expenditure per household,Third quintile,Household equipment,Dollars,C65,940.0,Couple families,35 to 44 years,"$75,000 and over",932730.0
2010,Province 1,Average expenditure per household,Third quintile,Household appliances,Dollars,C66,412.0,Couple families,35 to 44 years,"$80,000 and over",870620.0
2010,Province 1,Average expenditure per household,Third quintile,Clothing and accessories,Dollars,C67,3078.0,Couple families,35 to 44 years,"$90,000 and over",748000.0
2010,Province 1,Average expenditure per household,Third quintile,Transportation,Dollars,C68,10594.0,Couple families,35 to 44 years,Median total income,85540.0
2010,Province 1,Average expenditure per household,Fourth quintile,Total expenditure,Dollars,C69,83109.0,Couple families,45 to 54 years,All income groups,1893220.0
2010,Province 1,Average expenditure per household,Fourth quintile,Food purchased from stores,Dollars,C70,6688.0,Couple families,45 to 54 years,"Under $10,000",43630.0
2010,Province 1,Average expenditure per household,Fourth quintile,Food purchased from restaurants,Dollars,C71,2556.0,Couple families,45 to 54 years,"$10,000 and over",1849590.0
2010,Province 1,Average expenditure per household,Fourth quintile,Shelter,Dollars,C72,16979.0,Couple families,45 to 54 years,"$15,000 and over",1830340.0
2010,Province 1,Average expenditure per household,Fourth quintile,Principal accommodation,Dollars,C73,15794.0,Couple families,45 to 54 years,"$20,000 and over",1803250.0
2010,Province 1,Average expenditure per household,Fourth quintile,Rented living quarters,Dollars,C74,2102.0,Couple families,45 to 54 years,"$25,000 and over",1767580.0
2010,Province 1,Average expenditure per household,Fourth quintile,Owned living quarters,Dollars,C75,11055.0,Couple families,45 to 54 years,"$30,000 and over",1728010.0
2010,Province 1,Average expenditure per household,Fourth quintile,"Water, fuel and electricity for principal accommodation",Dollars,C76,2637.0,Couple families,45 to 54 years,"$35,000 and over",1684870.0
2010,Province 1,Average expenditure per household,Fourth quintile,Other accommodation,Dollars,C77,1185.0,Couple families,45 to 54 years,"$40,000 and over",1637560.0
2010,Province 1,Average expenditure per household,Fourth quintile,Household operations,Dollars,C78,4401.0,Couple families,45 to 54 years,"$45,000 and over",1586890.0
2010,Province 1,Average expenditure per household,Fourth quintile,Communications,Dollars,C79,1999.0,Couple families,45 to 54 years,"$50,000 and over",1533210.0
2010,Province 1,Average expenditure per household,Fourth quintile,Household furnishings and equipment,Dollars,C80,2095.0,Couple families,45 to 54 years,"$60,000 and over",1418410.0
2010,Province 1,Average expenditure per household,Fourth quintile,Household furnishings,Dollars,C81,932.0,Couple families,45 to 54 years,"$70,000 and over",1296030.0
2010,Province 1,Average expenditure per household,Fourth quintile,Household equipment,Dollars,C82,1029.0,Couple families,45 to 54 years,"$75,000 and over",1232040.0
2010,Province 1,Average expenditure per household,Fourth quintile,Household appliances,Dollars,C83,436.0,Couple families,45 to 54 years,"$80,000 and over",1167600.0
2010,Province 1,Average expenditure per household,Fourth quintile,Clothing and accessories,Dollars,C84,4217.0,Couple families,45 to 54 years,"$90,000 and over",1037640.0
2010,Province 1,Average expenditure per household,Fourth quintile,Transportation,Dollars,C85,13769.0,Couple families,45 to 54 years,Median total income,97110.0
2010,Province 1,Average expenditure per household,Highest quintile,Total expenditure,Dollars,C86,142898.0,Couple families,55 to 64 years,All income groups,1624920.0
2010,Province 1,Average expenditure per household,Highest quintile,Food purchased from stores,Dollars,C87,8141.0,Couple families,55 to 64 years,"Under $10,000",31370.0
2010,Province 1,Average expenditure per household,Highest quintile,Food purchased from restaurants,Dollars,C88,3868.0,Couple families,55 to 64 years,"$10,000 and over",1593550.0
2010,Province 1,Average expenditure per household,Highest quintile,Shelter,Dollars,C89,23261.0,Couple families,55 to 64 years,"$15,000 and over",1571310.0
2010,Province 1,Average expenditure per household,Highest quintile,Principal accommodation,Dollars,C90,19570.0,Couple families,55 to 64 years,"$20,000 and over",1540340.0
2010,Province 1,Average expenditure per household,Highest quintile,Rented living quarters,Dollars,C91,1310.0,Couple families,55 to 64 years,"$25,000 and over",1502570.0
2010,Province 1,Average expenditure per household,Highest quintile,Owned living quarters,Dollars,C92,14915.0,Couple families,55 to 64 years,"$30,000 and over",1462430.0
2010,Province 1,Average expenditure per household,Highest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C93,3346.0,Couple families,55 to 64 years,"$35,000 and over",1418400.0
2010,Province 1,Average expenditure per household,Highest quintile,Other accommodation,Dollars,C94,3691.0,Couple families,55 to 64 years,"$40,000 and over",1367670.0
2010,Province 1,Average expenditure per household,Highest quintile,Household operations,Dollars,C95,6741.0,Couple families,55 to 64 years,"$45,000 and over",1311870.0
2010,Province 1,Average expenditure per household,Highest quintile,Communications,Dollars,C96,2480.0,Couple families,55 to 64 years,"$50,000 and over",1253330.0
2010,Province 1,Average expenditure per household,Highest quintile,Household furnishings and equipment,Dollars,C97,3763.0,Couple families,55 to 64 years,"$60,000 and over",1129290.0
2010,Province 1,Average expenditure per household,Highest quintile,Household furnishings,Dollars,C98,1753.0,Couple families,55 to 64 years,"$70,000 and over",1002760.0
2010,Province 1,Average expenditure per household,Highest quintile,Household equipment,Dollars,C99,1735.0,Couple families,55 to 64 years,"$75,000 and over",940390.0
2010,Province 1,Average expenditure per household,Highest quintile,Household appliances,Dollars,C100,733.0,Couple families,55 to 64 years,"$80,000 and over",879740.0
2010,Province 1,Average expenditure per household,Highest quintile,Clothing and accessories,Dollars,C101,6334.0,Couple families,55 to 64 years,"$90,000 and over",765010.0
2010,Province 1,Average expenditure per household,Highest quintile,Transportation,Dollars,C102,19274.0,Couple families,55 to 64 years,Median total income,85750.0
2010,Province 2,Average expenditure per household,All quintiles,Total expenditure,Dollars,C103,61585.0,Couple families,Total all ages,All income groups,132340.0
2010,Province 2,Average expenditure per household,All quintiles,Food purchased from stores,Dollars,C104,5516.0,Couple families,Total all ages,"Under $10,000",1130.0
2010,Province 2,Average expenditure per household,All quintiles,Food purchased from restaurants,Dollars,C105,1720.0,Couple families,Total all ages,"$10,000 and over",131210.0
2010,Province 2,Average expenditure per household,All quintiles,Shelter,Dollars,C106,11209.0,Couple families,Total all ages,"$15,000 and over",129670.0
2010,Province 2,Average expenditure per household,All quintiles,Principal accommodation,Dollars,C107,10323.0,Couple families,Total all ages,"$20,000 and over",127630.0
2010,Province 2,Average expenditure per household,All quintiles,Rented living quarters,Dollars,C108,1818.0,Couple families,Total all ages,"$25,000 and over",125070.0
2010,Province 2,Average expenditure per household,All quintiles,Owned living quarters,Dollars,C109,5831.0,Couple families,Total all ages,"$30,000 and over",116960.0
2010,Province 2,Average expenditure per household,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C110,2673.0,Couple families,Total all ages,"$35,000 and over",109260.0
2010,Province 2,Average expenditure per household,All quintiles,Other accommodation,Dollars,C111,887.0,Couple families,Total all ages,"$40,000 and over",103100.0
2010,Province 2,Average expenditure per household,All quintiles,Household operations,Dollars,C112,3674.0,Couple families,Total all ages,"$45,000 and over",96770.0
2010,Province 2,Average expenditure per household,All quintiles,Communications,Dollars,C113,1684.0,Couple families,Total all ages,"$50,000 and over",90370.0
2010,Province 2,Average expenditure per household,All quintiles,Household furnishings and equipment,Dollars,C114,1769.0,Couple families,Total all ages,"$60,000 and over",77870.0
2010,Province 2,Average expenditure per household,All quintiles,Household furnishings,Dollars,C115,741.0,Couple families,Total all ages,"$70,000 and over",66460.0
2010,Province 2,Average expenditure per household,All quintiles,Household equipment,Dollars,C116,944.0,Couple families,Total all ages,"$75,000 and over",61220.0
2010,Province 2,Average expenditure per household,All quintiles,Household appliances,Dollars,C117,410.0,Couple families,Total all ages,"$80,000 and over",56280.0
2010,Province 2,Average expenditure per household,All quintiles,Clothing and accessories,Dollars,C118,3221.0,Couple families,Total all ages,"$90,000 and over",47420.0
2010,Province 2,Average expenditure per household,All quintiles,Transportation,Dollars,C119,10085.0,Couple families,Total all ages,Median total income,70250.0
2010,Province 2,Average expenditure per household,Lowest quintile,Total expenditure,Dollars,C120,23821.0,Couple families,0 to 24 years,All income groups,1530.0
2010,Province 2,Average expenditure per household,Lowest quintile,Food purchased from stores,Dollars,C121,3274.0,Couple families,0 to 24 years,"Under $10,000",100.0
2010,Province 2,Average expenditure per household,Lowest quintile,Food purchased from restaurants,Dollars,C122,640.0,Couple families,0 to 24 years,"$10,000 and over",1440.0
2010,Province 2,Average expenditure per household,Lowest quintile,Shelter,Dollars,C123,6668.0,Couple families,0 to 24 years,"$15,000 and over",1340.0
2010,Province 2,Average expenditure per household,Lowest quintile,Principal accommodation,Dollars,C124,6458.0,Couple families,0 to 24 years,"$20,000 and over",1200.0
2010,Province 2,Average expenditure per household,Lowest quintile,Rented living quarters,Dollars,C125,3240.0,Couple families,0 to 24 years,"$25,000 and over",1030.0
2010,Province 2,Average expenditure per household,Lowest quintile,Owned living quarters,Dollars,C126,1509.0,Couple families,0 to 24 years,"$30,000 and over",880.0
2010,Province 2,Average expenditure per household,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C127,1709.0,Couple families,0 to 24 years,"$35,000 and over",730.0
2010,Province 2,Average expenditure per household,Lowest quintile,Other accommodation,Dollars,C128,210.0,Couple families,0 to 24 years,"$40,000 and over",570.0
2010,Province 2,Average expenditure per household,Lowest quintile,Household operations,Dollars,C129,1908.0,Couple families,0 to 24 years,"$45,000 and over",470.0
2010,Province 2,Average expenditure per household,Lowest quintile,Communications,Dollars,C130,1034.0,Couple families,0 to 24 years,"$50,000 and over",380.0
2010,Province 2,Average expenditure per household,Lowest quintile,Household furnishings and equipment,Dollars,C131,739.0,Couple families,0 to 24 years,"$60,000 and over",240.0
2010,Province 2,Average expenditure per household,Lowest quintile,Household furnishings,Dollars,C132,299.0,Couple families,0 to 24 years,"$70,000 and over",160.0
2010,Province 2,Average expenditure per household,Lowest quintile,Household equipment,Dollars,C133,383.0,Couple families,0 to 24 years,"$75,000 and over",140.0
2010,Province 2,Average expenditure per household,Lowest quintile,Household appliances,Dollars,C134,157.0,Couple families,0 to 24 years,"$80,000 and over",120.0
2010,Province 2,Average expenditure per household,Lowest quintile,Clothing and accessories,Dollars,C135,1119.0,Couple families,0 to 24 years,"$90,000 and over",70.0
2010,Province 2,Average expenditure per household,Lowest quintile,Transportation,Dollars,C136,4137.0,Couple families,0 to 24 years,Median total income,33740.0
2010,Province 2,Average expenditure per household,Second quintile,Total expenditure,Dollars,C137,37075.0,Couple families,25 to 34 years,All income groups,13280.0
2010,Province 2,Average expenditure per household,Second quintile,Food purchased from stores,Dollars,C138,4575.0,Couple families,25 to 34 years,"Under $10,000",200.0
2010,Province 2,Average expenditure per household,Second quintile,Food purchased from restaurants,Dollars,C139,1066.0,Couple families,25 to 34 years,"$10,000 and over",13090.0
2010,Province 2,Average expenditure per household,Second quintile,Shelter,Dollars,C140,8173.0,Couple families,25 to 34 years,"$15,000 and over",12960.0
2010,Province 2,Average expenditure per household,Second quintile,Principal accommodation,Dollars,C141,7807.0,Couple families,25 to 34 years,"$20,000 and over",12760.0
2010,Province 2,Average expenditure per household,Second quintile,Rented living quarters,Dollars,C142,2577.0,Couple families,25 to 34 years,"$25,000 and over",12470.0
2010,Province 2,Average expenditure per household,Second quintile,Owned living quarters,Dollars,C143,2884.0,Couple families,25 to 34 years,"$30,000 and over",12100.0
2010,Province 2,Average expenditure per household,Second quintile,"Water, fuel and electricity for principal accommodation",Dollars,C144,2347.0,Couple families,25 to 34 years,"$35,000 and over",11630.0
2010,Province 2,Average expenditure per household,Second quintile,Other accommodation,Dollars,C145,366.0,Couple families,25 to 34 years,"$40,000 and over",11080.0
2010,Province 2,Average expenditure per household,Second quintile,Household operations,Dollars,C146,2716.0,Couple families,25 to 34 years,"$45,000 and over",10410.0
2010,Province 2,Average expenditure per household,Second quintile,Communications,Dollars,C147,1373.0,Couple families,25 to 34 years,"$50,000 and over",9710.0
2010,Province 2,Average expenditure per household,Second quintile,Household furnishings and equipment,Dollars,C148,1131.0,Couple families,25 to 34 years,"$60,000 and over",8340.0
2010,Province 2,Average expenditure per household,Second quintile,Household furnishings,Dollars,C149,507.0,Couple families,25 to 34 years,"$70,000 and over",7050.0
2010,Province 2,Average expenditure per household,Second quintile,Household equipment,Dollars,C150,581.0,Couple families,25 to 34 years,"$75,000 and over",6450.0
2010,Province 2,Average expenditure per household,Second quintile,Household appliances,Dollars,C151,288.0,Couple families,25 to 34 years,"$80,000 and over",5890.0
2010,Province 2,Average expenditure per household,Second quintile,Clothing and accessories,Dollars,C152,2037.0,Couple families,25 to 34 years,"$90,000 and over",4840.0
2010,Province 2,Average expenditure per household,Second quintile,Transportation,Dollars,C153,6873.0,Couple families,25 to 34 years,Median total income,73300.0
2010,Province 2,Average expenditure per household,Third quintile,Total expenditure,Dollars,C154,54527.0,Couple families,35 to 44 years,All income groups,24810.0
2010,Province 2,Average expenditure per household,Third quintile,Food purchased from stores,Dollars,C155,5432.0,Couple families,35 to 44 years,"Under $10,000",220.0
2010,Province 2,Average expenditure per household,Third quintile,Food purchased from restaurants,Dollars,C156,1658.0,Couple families,35 to 44 years,"$10,000 and over",24590.0
2010,Province 2,Average expenditure per household,Third quintile,Shelter,Dollars,C157,10337.0,Couple families,35 to 44 years,"$15,000 and over",24440.0
2010,Province 2,Average expenditure per household,Third quintile,Principal accommodation,Dollars,C158,9722.0,Couple families,35 to 44 years,"$20,000 and over",24160.0
2010,Province 2,Average expenditure per household,Third quintile,Rented living quarters,Dollars,C159,1636.0,Couple families,35 to 44 years,"$25,000 and over",23830.0
2010,Province 2,Average expenditure per household,Third quintile,Owned living quarters,Dollars,C160,5439.0,Couple families,35 to 44 years,"$30,000 and over",23420.0
2010,Province 2,Average expenditure per household,Third quintile,"Water, fuel and electricity for principal accommodation",Dollars,C161,2647.0,Couple families,35 to 44 years,"$35,000 and over",22870.0
2010,Province 2,Average expenditure per household,Third quintile,Other accommodation,Dollars,C162,615.0,Couple families,35 to 44 years,"$40,000 and over",22180.0
2010,Province 2,Average expenditure per household,Third quintile,Household operations,Dollars,C163,3714.0,Couple families,35 to 44 years,"$45,000 and over",21340.0
2010,Province 2,Average expenditure per household,Third quintile,Communications,Dollars,C164,1783.0,Couple families,35 to 44 years,"$50,000 and over",20350.0
2010,Province 2,Average expenditure per household,Third quintile,Household furnishings and equipment,Dollars,C165,1537.0,Couple families,35 to 44 years,"$60,000 and over",18140.0
2010,Province 2,Average expenditure per household,Third quintile,Household furnishings,Dollars,C166,642.0,Couple families,35 to 44 years,"$70,000 and over",15820.0
2010,Province 2,Average expenditure per household,Third quintile,Household equipment,Dollars,C167,856.0,Couple families,35 to 44 years,"$75,000 and over",14710.0
2010,Province 2,Average expenditure per household,Third quintile,Household appliances,Dollars,C168,343.0,Couple families,35 to 44 years,"$80,000 and over",13640.0
2010,Province 2,Average expenditure per household,Third quintile,Clothing and accessories,Dollars,C169,3164.0,Couple families,35 to 44 years,"$90,000 and over",11650.0
2010,Province 2,Average expenditure per household,Third quintile,Transportation,Dollars,C170,10115.0,Couple families,35 to 44 years,Median total income,85930.0
2010,Province 2,Average expenditure per household,Fourth quintile,Total expenditure,Dollars,C171,72784.0,Couple families,45 to 54 years,All income groups,31120.0
2010,Province 2,Average expenditure per household,Fourth quintile,Food purchased from stores,Dollars,C172,6350.0,Couple families,45 to 54 years,"Under $10,000",220.0
2010,Province 2,Average expenditure per household,Fourth quintile,Food purchased from restaurants,Dollars,C173,2136.0,Couple families,45 to 54 years,"$10,000 and over",30900.0
2010,Province 2,Average expenditure per household,Fourth quintile,Shelter,Dollars,C174,13252.0,Couple families,45 to 54 years,"$15,000 and over",30630.0
2010,Province 2,Average expenditure per household,Fourth quintile,Principal accommodation,Dollars,C175,12090.0,Couple families,45 to 54 years,"$20,000 and over",30250.0
2010,Province 2,Average expenditure per household,Fourth quintile,Rented living quarters,Dollars,C176,1057.0,Couple families,45 to 54 years,"$25,000 and over",29850.0
2010,Province 2,Average expenditure per household,Fourth quintile,Owned living quarters,Dollars,C177,7966.0,Couple families,45 to 54 years,"$30,000 and over",29350.0
2010,Province 2,Average expenditure per household,Fourth quintile,"Water, fuel and electricity for principal accommodation",Dollars,C178,3067.0,Couple families,45 to 54 years,"$35,000 and over",28700.0
2010,Province 2,Average expenditure per household,Fourth quintile,Other accommodation,Dollars,C179,1163.0,Couple families,45 to 54 years,"$40,000 and over",27880.0
2010,Province 2,Average expenditure per household,Fourth quintile,Household operations,Dollars,C180,4213.0,Couple families,45 to 54 years,"$45,000 and over",26880.0
2010,Province 2,Average expenditure per household,Fourth quintile,Communications,Dollars,C181,1976.0,Couple families,45 to 54 years,"$50,000 and over",25660.0
2010,Province 2,Average expenditure per household,Fourth quintile,Household furnishings and equipment,Dollars,C182,2143.0,Couple families,45 to 54 years,"$60,000 and over",23140.0
2010,Province 2,Average expenditure per household,Fourth quintile,Household furnishings,Dollars,C183,823.0,Couple families,45 to 54 years,"$70,000 and over",20660.0
2010,Province 2,Average expenditure per household,Fourth quintile,Household equipment,Dollars,C184,1253.0,Couple families,45 to 54 years,"$75,000 and over",19350.0
2010,Province 2,Average expenditure per household,Fourth quintile,Household appliances,Dollars,C185,515.0,Couple families,45 to 54 years,"$80,000 and over",18120.0
2010,Province 2,Average expenditure per household,Fourth quintile,Clothing and accessories,Dollars,C186,3916.0,Couple families,45 to 54 years,"$90,000 and over",15760.0
2010,Province 2,Average expenditure per household,Fourth quintile,Transportation,Dollars,C187,11977.0,Couple families,45 to 54 years,Median total income,90770.0
2010,Province 2,Average expenditure per household,Highest quintile,Total expenditure,Dollars,C188,119554.0,Couple families,55 to 64 years,All income groups,32260.0
2010,Province 2,Average expenditure per household,Highest quintile,Food purchased from stores,Dollars,C189,7931.0,Couple families,55 to 64 years,"Under $10,000",350.0
2010,Province 2,Average expenditure per household,Highest quintile,Food purchased from restaurants,Dollars,C190,3091.0,Couple families,55 to 64 years,"$10,000 and over",31920.0
2010,Province 2,Average expenditure per household,Highest quintile,Shelter,Dollars,C191,17604.0,Couple families,55 to 64 years,"$15,000 and over",31170.0
2010,Province 2,Average expenditure per household,Highest quintile,Principal accommodation,Dollars,C192,15526.0,Couple families,55 to 64 years,"$20,000 and over",30580.0
2010,Province 2,Average expenditure per household,Highest quintile,Rented living quarters,Dollars,C193,585.0,Couple families,55 to 64 years,"$25,000 and over",29880.0
2010,Province 2,Average expenditure per household,Highest quintile,Owned living quarters,Dollars,C194,11349.0,Couple families,55 to 64 years,"$30,000 and over",29030.0
2010,Province 2,Average expenditure per household,Highest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C195,3592.0,Couple families,55 to 64 years,"$35,000 and over",27880.0
